policy_id,policy_group_id,start_date,end_date,line_of_business,coverage_term_months,underwriting_year,currency,ifrs_model_type,status
POL39866338,GRP25255,2022-06-26,2023-06-21,Life,12,2022,USD,GMM,Expired
POL31836926,GRP89613,2019-04-13,2021-09-29,Property,30,2019,USD,GMM,Cancelled
POL46126337,GRP76396,2018-09-11,2021-02-27,Property,30,2018,EUR,PAA,Active
POL29105719,GRP40486,2023-05-24,2024-05-18,Motor,12,2023,EUR,GMM,Cancelled
POL32400006,GRP57182,2019-12-16,2021-04-09,Life,16,2019,GBP,GMM,Cancelled
POL71286382,GRP67778,2024-02-22,2026-01-12,Health,23,2024,GBP,GMM,Active
POL10273329,GRP44657,2018-11-28,2021-05-16,Property,30,2018,EUR,GMM,Expired
POL42282542,GRP16836,2018-12-11,2020-06-03,Motor,18,2018,GBP,GMM,Active
POL19886833,GRP63240,2022-05-13,2024-01-03,Life,20,2022,USD,PAA,Active
POL81334805,GRP80472,2018-08-15,2021-05-01,Life,33,2018,EUR,PAA,Expired
POL09809959,GRP17059,2019-05-17,2020-10-08,Motor,17,2019,USD,GMM,Expired
POL67225854,GRP26734,2018-11-05,2021-01-23,Life,27,2018,EUR,PAA,Expired
POL91719455,GRP58555,2020-09-02,2021-08-28,Health,12,2020,USD,GMM,Expired
POL79456642,GRP35645,2019-10-08,2020-10-02,Property,12,2019,USD,PAA,Active
POL94812638,GRP63864,2020-03-20,2022-02-08,Motor,23,2020,EUR,PAA,Active
POL80932403,GRP15960,2022-02-06,2022-08-05,Motor,6,2022,USD,PAA,Expired
POL86834577,GRP58279,2022-08-28,2023-10-22,Property,14,2022,GBP,GMM,Expired
POL91597328,GRP88663,2023-07-28,2025-12-14,Motor,29,2023,USD,PAA,Active
POL40116757,GRP97829,2022-04-27,2025-01-11,Life,33,2022,USD,GMM,Active
POL14818744,GRP23308,2022-10-08,2024-04-30,Life,19,2022,EUR,PAA,Active
POL90986461,GRP87737,2019-01-03,2021-09-19,Motor,33,2019,GBP,GMM,Expired
POL09731520,GRP19954,2019-02-20,2020-12-11,Property,22,2019,USD,PAA,Expired
POL03979345,GRP37680,2025-03-23,2027-10-09,Life,31,2025,EUR,PAA,Cancelled
POL84900627,GRP28440,2023-10-06,2024-07-02,Motor,9,2023,GBP,GMM,Cancelled
POL62603188,GRP16508,2020-08-03,2022-05-25,Health,22,2020,EUR,GMM,Active
POL52543904,GRP09017,2021-05-05,2023-04-25,Motor,24,2021,USD,PAA,Active
POL11769315,GRP46096,2024-03-07,2025-05-31,Motor,15,2024,USD,PAA,Cancelled
POL91702098,GRP00775,2024-11-26,2027-09-12,Property,34,2024,GBP,GMM,Expired
POL78937703,GRP30709,2021-06-25,2024-02-10,Property,32,2021,USD,GMM,Expired
POL59774573,GRP50534,2021-09-06,2023-09-26,Motor,25,2021,EUR,GMM,Expired
POL22783280,GRP64338,2021-04-19,2021-10-16,Motor,6,2021,USD,PAA,Active
POL90266017,GRP88312,2023-11-30,2025-06-22,Health,19,2023,EUR,PAA,Active
POL65477581,GRP98232,2019-05-08,2020-01-03,Health,8,2019,GBP,GMM,Expired
POL77318058,GRP75071,2024-08-16,2027-07-02,Life,35,2024,EUR,GMM,Expired
POL91302925,GRP17229,2020-09-14,2023-03-03,Life,30,2020,GBP,PAA,Expired
POL83551950,GRP91265,2023-12-03,2025-04-26,Property,17,2023,GBP,GMM,Cancelled
POL41173927,GRP42610,2020-09-21,2022-03-15,Property,18,2020,GBP,PAA,Active
POL45813955,GRP73886,2022-04-07,2023-02-01,Motor,10,2022,EUR,GMM,Cancelled
POL24078315,GRP67884,2023-04-04,2025-07-22,Motor,28,2023,EUR,PAA,Cancelled
POL99914433,GRP44284,2022-09-10,2024-01-03,Property,16,2022,USD,PAA,Expired
POL82163249,GRP86432,2022-09-24,2025-08-09,Life,35,2022,GBP,PAA,Expired
POL03471218,GRP55726,2021-06-04,2024-02-19,Property,33,2021,GBP,PAA,Cancelled
POL00378650,GRP57110,2018-02-01,2020-12-17,Health,35,2018,EUR,PAA,Active
POL45589449,GRP13181,2020-01-26,2022-12-11,Property,35,2020,USD,GMM,Active
POL54660710,GRP71594,2024-10-16,2026-04-09,Life,18,2024,USD,GMM,Active
POL75893728,GRP66373,2023-09-17,2024-08-12,Health,11,2023,GBP,GMM,Cancelled
POL63098517,GRP36645,2018-08-04,2020-05-25,Motor,22,2018,GBP,PAA,Expired
POL83704433,GRP90797,2018-02-23,2018-10-21,Property,8,2018,GBP,GMM,Cancelled
POL03332296,GRP62599,2022-01-13,2024-08-30,Property,32,2022,EUR,PAA,Cancelled
POL92859580,GRP02796,2025-01-08,2027-06-27,Life,30,2025,GBP,PAA,Active
POL45506491,GRP82050,2020-03-21,2021-12-11,Property,21,2020,USD,PAA,Active
POL49071268,GRP53652,2022-06-20,2023-08-14,Property,14,2022,EUR,GMM,Expired
POL45569940,GRP11875,2021-05-23,2024-05-07,Property,36,2021,GBP,PAA,Expired
POL77986595,GRP34724,2024-05-09,2025-07-03,Motor,14,2024,GBP,PAA,Cancelled
POL47327176,GRP64368,2024-07-15,2027-05-31,Health,35,2024,EUR,PAA,Cancelled
POL37414974,GRP57617,2021-07-01,2022-07-26,Health,13,2021,GBP,PAA,Expired
POL54404723,GRP45409,2023-12-06,2024-12-30,Motor,13,2023,USD,PAA,Active
POL04364142,GRP04307,2018-11-30,2020-12-19,Motor,25,2018,EUR,PAA,Expired
POL62130365,GRP09494,2024-04-30,2027-02-14,Motor,34,2024,USD,GMM,Cancelled
POL36576185,GRP31682,2018-01-31,2020-02-20,Health,25,2018,USD,PAA,Active
POL49705358,GRP79132,2018-08-14,2020-08-03,Motor,24,2018,USD,PAA,Active
POL57970355,GRP45621,2025-08-25,2026-12-18,Life,16,2025,EUR,PAA,Cancelled
POL70104425,GRP71654,2023-02-14,2023-10-12,Motor,8,2023,USD,PAA,Active
POL85468541,GRP36053,2024-04-25,2025-05-20,Motor,13,2024,GBP,PAA,Expired
POL06821030,GRP30330,2023-03-11,2025-02-28,Life,24,2023,USD,GMM,Active
POL78144241,GRP14440,2021-11-10,2022-08-07,Life,9,2021,EUR,GMM,Cancelled
POL10626687,GRP55392,2018-07-19,2019-01-15,Life,6,2018,USD,GMM,Expired
POL21284961,GRP42026,2019-04-17,2021-06-05,Life,26,2019,USD,PAA,Active
POL08609235,GRP00637,2018-11-25,2020-07-17,Health,20,2018,GBP,GMM,Expired
POL17029969,GRP69637,2025-10-27,2027-02-19,Motor,16,2025,USD,PAA,Active
POL38244567,GRP28835,2025-01-18,2025-11-14,Motor,10,2025,EUR,GMM,Cancelled
POL01050232,GRP35021,2023-06-15,2024-10-07,Property,16,2023,EUR,GMM,Expired
POL47332713,GRP28060,2024-09-16,2025-06-13,Property,9,2024,EUR,GMM,Active
POL25780261,GRP83707,2022-03-15,2024-01-04,Life,22,2022,USD,GMM,Cancelled
POL08907912,GRP09914,2023-08-01,2024-04-27,Motor,9,2023,USD,GMM,Active
POL57654751,GRP88191,2024-03-22,2026-12-07,Life,33,2024,GBP,GMM,Active
POL15950293,GRP86936,2024-06-04,2026-02-24,Health,21,2024,USD,GMM,Active
POL50206400,GRP97781,2020-04-17,2020-11-13,Life,7,2020,USD,PAA,Cancelled
POL14556813,GRP23752,2021-01-15,2023-03-06,Motor,26,2021,EUR,GMM,Expired
POL41942443,GRP25754,2021-05-01,2023-09-18,Health,29,2021,GBP,GMM,Active
POL92527654,GRP49939,2020-09-20,2021-05-18,Life,8,2020,EUR,GMM,Expired
POL04627348,GRP49717,2019-09-13,2021-08-03,Property,23,2019,USD,GMM,Expired
POL88926302,GRP35090,2022-09-18,2025-02-04,Property,29,2022,EUR,PAA,Cancelled
POL35856863,GRP35302,2019-03-14,2021-07-31,Property,29,2019,EUR,PAA,Expired
POL59851027,GRP49199,2021-03-05,2022-03-30,Property,13,2021,GBP,GMM,Expired
POL27342917,GRP29886,2019-02-08,2020-11-29,Health,22,2019,EUR,GMM,Expired
POL65591992,GRP26077,2018-06-15,2021-04-30,Health,35,2018,EUR,PAA,Cancelled
POL56110506,GRP13367,2020-11-14,2022-02-07,Motor,15,2020,EUR,PAA,Active
POL46081039,GRP31716,2024-08-18,2025-12-11,Life,16,2024,USD,PAA,Active
POL38363698,GRP33148,2018-09-03,2020-08-23,Property,24,2018,EUR,PAA,Expired
POL00911577,GRP11746,2025-12-01,2028-04-19,Life,29,2025,EUR,PAA,Active
POL71234854,GRP68602,2019-05-04,2021-12-19,Property,32,2019,GBP,GMM,Expired
POL84864675,GRP65861,2018-07-19,2020-01-10,Health,18,2018,GBP,GMM,Expired
POL23307238,GRP99220,2019-06-21,2022-05-06,Motor,35,2019,EUR,PAA,Active
POL14588807,GRP36125,2019-02-08,2020-08-31,Motor,19,2019,GBP,GMM,Expired
POL59172030,GRP52901,2018-07-15,2020-10-02,Property,27,2018,USD,PAA,Expired
POL60460805,GRP35484,2019-06-13,2021-11-29,Health,30,2019,USD,GMM,Cancelled
POL44291816,GRP74468,2024-12-20,2027-05-09,Life,29,2024,USD,PAA,Cancelled
POL67220733,GRP73058,2018-09-27,2021-01-14,Life,28,2018,GBP,GMM,Active
POL80272961,GRP90071,2022-09-21,2023-05-19,Health,8,2022,EUR,PAA,Active
POL78599486,GRP68698,2018-09-26,2020-04-18,Property,19,2018,USD,PAA,Expired
POL65117809,GRP39301,2024-05-06,2025-01-31,Life,9,2024,GBP,GMM,Cancelled
POL75984907,GRP75160,2019-09-27,2020-10-21,Life,13,2019,USD,GMM,Expired
POL68993161,GRP05987,2019-04-21,2020-07-14,Health,15,2019,EUR,PAA,Active
POL26583320,GRP24381,2024-01-20,2026-02-08,Health,25,2024,EUR,GMM,Cancelled
POL47701574,GRP73162,2022-01-14,2023-04-09,Health,15,2022,USD,GMM,Cancelled
POL02592888,GRP26442,2025-01-22,2027-02-11,Property,25,2025,EUR,GMM,Active
POL93386266,GRP48109,2021-07-31,2023-03-23,Life,20,2021,GBP,PAA,Cancelled
POL86390074,GRP18004,2025-05-08,2026-02-02,Motor,9,2025,EUR,GMM,Cancelled
POL18890702,GRP49066,2020-11-20,2023-07-08,Property,32,2020,GBP,GMM,Cancelled
POL57105891,GRP96067,2024-08-15,2026-05-07,Life,21,2024,USD,GMM,Active
POL83367698,GRP73485,2020-03-22,2022-09-08,Life,30,2020,GBP,GMM,Active
POL73112523,GRP29183,2023-12-15,2025-04-08,Health,16,2023,GBP,PAA,Cancelled
POL75707610,GRP17598,2018-09-03,2019-08-29,Motor,12,2018,USD,GMM,Active
POL17983044,GRP14489,2021-08-29,2022-04-26,Health,8,2021,USD,GMM,Cancelled
POL86661527,GRP26825,2022-04-19,2024-12-04,Property,32,2022,EUR,GMM,Expired
POL46053733,GRP40977,2022-12-07,2024-03-01,Property,15,2022,EUR,PAA,Cancelled
POL07698535,GRP70904,2018-01-19,2018-09-16,Life,8,2018,EUR,GMM,Expired
POL65373927,GRP97201,2022-05-18,2023-07-12,Life,14,2022,EUR,GMM,Active
POL39297125,GRP00129,2022-02-04,2022-08-03,Life,6,2022,GBP,PAA,Expired
POL61581509,GRP66544,2020-01-12,2021-04-06,Property,15,2020,USD,PAA,Cancelled
POL68752109,GRP63974,2020-07-22,2023-05-08,Life,34,2020,EUR,PAA,Expired
POL70862614,GRP79659,2020-02-28,2020-09-25,Motor,7,2020,GBP,PAA,Cancelled
POL13521331,GRP06336,2018-09-03,2020-10-22,Life,26,2018,USD,GMM,Cancelled
POL50180630,GRP21651,2021-06-29,2023-04-20,Health,22,2021,EUR,PAA,Active
POL97150473,GRP91571,2024-01-10,2026-03-30,Life,27,2024,EUR,PAA,Active
POL63773918,GRP80766,2023-07-27,2024-12-18,Health,17,2023,GBP,PAA,Cancelled
POL39288512,GRP88983,2020-04-16,2020-10-13,Property,6,2020,USD,GMM,Cancelled
POL45792227,GRP87966,2020-05-01,2021-03-27,Motor,11,2020,GBP,GMM,Cancelled
POL55101353,GRP99085,2018-11-17,2021-03-06,Property,28,2018,GBP,GMM,Expired
POL39498682,GRP73640,2019-09-16,2022-08-31,Motor,36,2019,EUR,PAA,Active
POL00295293,GRP05158,2021-10-29,2024-06-15,Motor,32,2021,GBP,PAA,Active
POL17408473,GRP11712,2018-11-11,2019-06-09,Health,7,2018,EUR,PAA,Expired
POL53092591,GRP48690,2025-02-21,2026-09-14,Property,19,2025,GBP,PAA,Expired
POL93360780,GRP25693,2020-09-17,2023-01-05,Health,28,2020,USD,PAA,Expired
POL24059090,GRP47761,2024-01-08,2026-02-26,Health,26,2024,USD,PAA,Cancelled
POL42704595,GRP70531,2022-10-14,2025-03-02,Life,29,2022,EUR,GMM,Active
POL04522546,GRP44954,2022-04-05,2023-05-30,Health,14,2022,EUR,GMM,Expired
POL87016074,GRP98517,2021-04-02,2023-05-22,Property,26,2021,EUR,PAA,Expired
POL53402887,GRP55125,2023-10-02,2026-04-19,Property,31,2023,EUR,GMM,Cancelled
POL72044606,GRP22769,2021-05-17,2022-07-11,Health,14,2021,EUR,PAA,Active
POL71011873,GRP33538,2018-04-28,2019-08-21,Health,16,2018,EUR,GMM,Active
POL63274283,GRP89786,2023-06-30,2026-04-15,Life,34,2023,EUR,PAA,Cancelled
POL04838190,GRP63143,2025-05-06,2028-02-20,Property,34,2025,USD,PAA,Expired
POL97987187,GRP45904,2023-08-14,2024-10-07,Life,14,2023,USD,GMM,Active
POL28824289,GRP45809,2019-04-13,2021-09-29,Motor,30,2019,GBP,PAA,Active
POL57841091,GRP35484,2020-07-22,2022-07-12,Health,24,2020,EUR,PAA,Active
POL80605232,GRP53902,2019-12-12,2021-08-03,Property,20,2019,USD,GMM,Cancelled
POL66140460,GRP83704,2025-01-10,2026-08-03,Health,19,2025,EUR,PAA,Active
POL29570895,GRP55750,2022-02-01,2023-08-25,Health,19,2022,GBP,GMM,Cancelled
POL33312605,GRP74377,2023-07-18,2026-03-04,Motor,32,2023,GBP,PAA,Active
POL25760572,GRP53736,2022-08-28,2023-06-24,Life,10,2022,EUR,GMM,Expired
POL16195130,GRP61740,2021-02-16,2023-07-06,Motor,29,2021,GBP,GMM,Cancelled
POL82114052,GRP99513,2025-08-30,2027-06-21,Motor,22,2025,EUR,PAA,Active
POL85426819,GRP38460,2019-03-30,2021-02-17,Health,23,2019,EUR,GMM,Expired
POL32895194,GRP47752,2024-05-26,2026-10-13,Motor,29,2024,USD,GMM,Cancelled
POL41333382,GRP14404,2020-09-13,2022-03-07,Life,18,2020,GBP,GMM,Expired
POL51025644,GRP96028,2021-11-15,2024-01-04,Life,26,2021,EUR,GMM,Active
POL00529683,GRP77046,2024-01-01,2026-01-20,Life,25,2024,USD,GMM,Cancelled
POL11123939,GRP00833,2022-12-19,2023-08-16,Property,8,2022,EUR,PAA,Cancelled
POL07730139,GRP11971,2024-07-04,2025-06-29,Health,12,2024,GBP,PAA,Cancelled
POL81941547,GRP08923,2018-07-23,2021-01-08,Motor,30,2018,EUR,GMM,Cancelled
POL39005087,GRP37366,2023-10-19,2024-10-13,Life,12,2023,GBP,PAA,Expired
POL63084546,GRP73239,2019-05-18,2021-01-07,Life,20,2019,EUR,GMM,Cancelled
POL06018784,GRP10092,2020-02-10,2022-10-27,Life,33,2020,EUR,GMM,Cancelled
POL51657862,GRP27430,2022-10-16,2024-01-09,Motor,15,2022,EUR,PAA,Expired
POL43232482,GRP08640,2020-12-01,2022-02-24,Health,15,2020,USD,PAA,Active
POL49909225,GRP84811,2023-11-11,2026-02-28,Property,28,2023,GBP,PAA,Expired
POL92811636,GRP58485,2022-04-28,2023-10-20,Property,18,2022,USD,PAA,Active
POL87876974,GRP80894,2024-07-26,2026-06-16,Motor,23,2024,EUR,GMM,Expired
POL46608762,GRP86590,2018-12-06,2020-02-29,Health,15,2018,USD,PAA,Active
POL45517893,GRP96696,2019-04-21,2021-02-09,Health,22,2019,EUR,PAA,Expired
POL55135957,GRP46249,2022-05-15,2024-03-05,Life,22,2022,GBP,PAA,Expired
POL76646864,GRP29807,2018-01-28,2020-08-15,Life,31,2018,GBP,PAA,Active
POL18904045,GRP95535,2025-10-13,2026-07-10,Health,9,2025,GBP,GMM,Cancelled
POL20399677,GRP42013,2022-09-05,2023-03-04,Motor,6,2022,GBP,PAA,Expired
POL18911683,GRP94700,2020-09-16,2023-07-03,Life,34,2020,USD,GMM,Cancelled
POL57072538,GRP54749,2025-11-02,2027-01-26,Motor,15,2025,GBP,GMM,Cancelled
POL72968826,GRP08215,2025-08-04,2027-02-25,Motor,19,2025,USD,PAA,Expired
POL84304538,GRP03306,2024-07-28,2025-09-21,Life,14,2024,USD,GMM,Active
POL38154136,GRP21611,2023-09-16,2024-10-10,Property,13,2023,USD,PAA,Cancelled
POL22736945,GRP93804,2021-10-07,2023-03-31,Property,18,2021,USD,GMM,Active
POL29061630,GRP60052,2019-11-25,2022-09-10,Motor,34,2019,USD,GMM,Expired
POL23984936,GRP46513,2024-05-02,2026-03-23,Life,23,2024,GBP,GMM,Cancelled
POL68856005,GRP20680,2019-09-06,2021-02-27,Life,18,2019,EUR,GMM,Active
POL67081776,GRP45237,2020-09-29,2023-04-17,Motor,31,2020,GBP,GMM,Active
POL99399321,GRP05638,2021-04-04,2021-12-30,Motor,9,2021,USD,PAA,Active
POL90078629,GRP19634,2020-11-16,2021-08-13,Health,9,2020,USD,PAA,Active
POL22130336,GRP69745,2024-09-04,2026-08-25,Life,24,2024,GBP,GMM,Cancelled
POL57682323,GRP43670,2021-02-22,2023-04-13,Property,26,2021,GBP,GMM,Active
POL85907028,GRP26118,2021-06-21,2022-11-13,Property,17,2021,EUR,PAA,Active
POL52542052,GRP48538,2025-03-01,2026-11-21,Motor,21,2025,GBP,PAA,Cancelled
POL80638274,GRP57756,2021-09-11,2022-06-08,Life,9,2021,USD,PAA,Expired
POL89027410,GRP27201,2019-11-12,2020-06-09,Life,7,2019,USD,GMM,Cancelled
POL05935918,GRP47407,2021-02-11,2021-11-08,Property,9,2021,GBP,GMM,Active
POL28084165,GRP33742,2023-08-29,2025-03-21,Health,19,2023,GBP,GMM,Cancelled
POL95543783,GRP12592,2022-03-08,2024-06-25,Motor,28,2022,GBP,PAA,Active
POL53600686,GRP35141,2024-11-14,2027-06-02,Health,31,2024,GBP,GMM,Active
POL15084586,GRP62032,2018-01-17,2020-03-07,Health,26,2018,EUR,GMM,Cancelled
POL85818253,GRP41736,2020-09-10,2023-02-27,Motor,30,2020,USD,GMM,Expired
POL60280803,GRP71330,2022-10-08,2024-11-26,Property,26,2022,EUR,GMM,Expired
POL72167280,GRP82061,2023-11-16,2025-02-08,Property,15,2023,USD,PAA,Expired
POL66429687,GRP66507,2022-01-29,2024-02-18,Property,25,2022,GBP,GMM,Cancelled
POL57639079,GRP27510,2024-06-05,2025-09-28,Property,16,2024,EUR,PAA,Active
POL24209933,GRP09272,2020-12-03,2021-11-28,Motor,12,2020,USD,GMM,Active
POL60574632,GRP51812,2018-09-01,2021-04-18,Health,32,2018,USD,GMM,Cancelled
POL79381306,GRP16952,2020-10-26,2022-06-18,Property,20,2020,GBP,PAA,Expired
POL43867953,GRP90193,2021-05-21,2021-12-17,Property,7,2021,GBP,GMM,Active
POL14547113,GRP90454,2024-12-20,2025-06-18,Property,6,2024,USD,PAA,Cancelled
POL79242307,GRP14697,2021-03-19,2023-12-04,Motor,33,2021,USD,PAA,Cancelled
POL89756794,GRP94549,2022-08-22,2025-01-08,Health,29,2022,GBP,PAA,Cancelled
POL76875170,GRP12495,2024-03-07,2025-07-30,Health,17,2024,EUR,GMM,Active
POL28725917,GRP24855,2024-06-15,2027-04-01,Motor,34,2024,GBP,GMM,Cancelled
POL18580486,GRP46710,2018-09-18,2019-04-16,Life,7,2018,USD,GMM,Expired
POL47977154,GRP84467,2018-02-14,2020-06-03,Life,28,2018,USD,GMM,Cancelled
POL72609237,GRP76548,2025-07-07,2027-04-28,Health,22,2025,GBP,PAA,Cancelled
POL07486787,GRP06222,2019-05-11,2022-01-25,Health,33,2019,EUR,GMM,Expired
POL02501133,GRP42581,2019-10-07,2022-03-25,Property,30,2019,EUR,PAA,Expired
POL41855461,GRP64597,2020-10-07,2023-09-22,Property,36,2020,USD,GMM,Cancelled
POL15536271,GRP53899,2024-11-11,2026-06-04,Health,19,2024,USD,PAA,Expired
POL01342243,GRP49474,2018-08-14,2019-09-08,Life,13,2018,GBP,PAA,Active
POL89767697,GRP67948,2023-08-31,2025-11-18,Property,27,2023,EUR,GMM,Active
POL38482878,GRP19088,2020-11-09,2022-08-01,Property,21,2020,EUR,GMM,Expired
POL95494327,GRP29012,2022-04-06,2023-11-27,Life,20,2022,GBP,GMM,Expired
POL16716744,GRP81817,2025-02-24,2027-03-16,Motor,25,2025,GBP,GMM,Cancelled
POL54917318,GRP00399,2020-06-01,2020-11-28,Life,6,2020,USD,PAA,Expired
POL95944373,GRP53690,2025-11-13,2026-07-11,Motor,8,2025,USD,PAA,Cancelled
POL80448694,GRP72898,2025-07-21,2026-05-17,Property,10,2025,EUR,GMM,Cancelled
POL25632496,GRP33432,2022-04-27,2024-02-16,Property,22,2022,USD,PAA,Expired
POL50556748,GRP48079,2022-11-13,2023-08-10,Health,9,2022,USD,GMM,Expired
POL57147548,GRP35361,2022-08-27,2023-08-22,Life,12,2022,USD,PAA,Expired
POL47874705,GRP30108,2022-06-16,2025-01-01,Health,31,2022,GBP,GMM,Cancelled
POL29320708,GRP28290,2025-11-02,2028-09-17,Motor,35,2025,USD,PAA,Active
POL76647633,GRP02541,2022-06-11,2025-02-25,Life,33,2022,USD,GMM,Expired
POL82575468,GRP59423,2024-06-15,2026-08-04,Property,26,2024,USD,GMM,Cancelled
POL17206423,GRP99265,2025-03-20,2027-02-08,Property,23,2025,GBP,GMM,Cancelled
POL94931784,GRP06258,2020-01-24,2022-04-13,Motor,27,2020,GBP,PAA,Active
POL14664306,GRP42582,2023-07-06,2024-10-28,Life,16,2023,GBP,GMM,Expired
POL96716756,GRP50742,2019-12-04,2021-03-28,Motor,16,2019,USD,PAA,Cancelled
POL42720073,GRP99862,2023-02-22,2026-01-07,Life,35,2023,GBP,PAA,Cancelled
POL65297859,GRP38709,2024-03-12,2025-11-02,Motor,20,2024,EUR,GMM,Active
POL50780948,GRP01636,2024-01-29,2024-07-27,Property,6,2024,USD,PAA,Cancelled
POL80042916,GRP81125,2019-04-05,2019-10-02,Motor,6,2019,USD,GMM,Expired
POL16624777,GRP13336,2025-10-26,2027-08-17,Life,22,2025,EUR,PAA,Active
POL67987334,GRP63252,2018-02-07,2019-01-03,Property,11,2018,USD,GMM,Cancelled
POL44958343,GRP80304,2023-05-16,2023-12-12,Life,7,2023,EUR,GMM,Cancelled
POL55205033,GRP66543,2020-06-12,2021-07-07,Life,13,2020,GBP,PAA,Cancelled
POL23377098,GRP53052,2022-11-05,2024-08-26,Health,22,2022,USD,GMM,Active
POL74712207,GRP42410,2019-09-21,2021-04-13,Health,19,2019,GBP,PAA,Active
POL37219893,GRP75323,2020-03-12,2021-06-05,Life,15,2020,USD,GMM,Active
POL19027883,GRP74065,2018-07-20,2021-05-05,Property,34,2018,GBP,PAA,Cancelled
POL55184424,GRP76094,2022-10-06,2025-08-21,Health,35,2022,USD,GMM,Expired
POL84909300,GRP16061,2025-09-03,2027-05-26,Motor,21,2025,USD,PAA,Active
POL01654417,GRP18834,2018-01-18,2019-01-13,Health,12,2018,EUR,PAA,Cancelled
POL72647528,GRP68443,2019-02-05,2020-07-29,Life,18,2019,USD,GMM,Active
POL76679730,GRP96570,2020-08-25,2021-09-19,Motor,13,2020,EUR,GMM,Expired
POL79812452,GRP62336,2023-07-15,2024-08-08,Property,13,2023,EUR,PAA,Active
POL93343311,GRP70272,2019-04-18,2021-08-05,Motor,28,2019,GBP,GMM,Expired
POL40147572,GRP37386,2024-02-01,2027-01-16,Motor,36,2024,GBP,GMM,Expired
POL00051944,GRP92719,2024-10-31,2027-05-19,Health,31,2024,USD,PAA,Active
POL04172648,GRP86138,2018-08-29,2020-01-21,Life,17,2018,USD,PAA,Expired
POL33839445,GRP70787,2018-07-24,2019-11-16,Health,16,2018,USD,PAA,Cancelled
POL50815851,GRP81772,2020-04-23,2023-04-08,Motor,36,2020,EUR,PAA,Cancelled
POL49921337,GRP87847,2022-06-30,2022-12-27,Motor,6,2022,USD,PAA,Cancelled
POL22533319,GRP09250,2018-04-02,2019-03-28,Life,12,2018,GBP,PAA,Expired
POL50309233,GRP65023,2019-11-16,2020-06-13,Motor,7,2019,GBP,GMM,Active
POL40687037,GRP43884,2023-08-20,2025-02-10,Health,18,2023,GBP,PAA,Active
POL35678782,GRP86961,2022-06-09,2025-03-25,Motor,34,2022,GBP,PAA,Cancelled
POL83274331,GRP04423,2025-10-19,2027-12-08,Health,26,2025,USD,PAA,Active
POL86328944,GRP43954,2022-05-06,2023-12-27,Health,20,2022,GBP,GMM,Active
POL95316668,GRP36510,2023-05-20,2024-02-14,Life,9,2023,USD,PAA,Expired
POL13792017,GRP61533,2019-04-19,2019-12-15,Property,8,2019,GBP,GMM,Active
POL46904584,GRP45763,2025-03-11,2025-09-07,Motor,6,2025,GBP,GMM,Active
POL09641823,GRP17815,2022-11-13,2024-02-06,Motor,15,2022,EUR,GMM,Active
POL45130892,GRP74605,2023-12-27,2025-02-19,Health,14,2023,GBP,GMM,Cancelled
POL34706587,GRP21714,2022-05-27,2023-05-22,Property,12,2022,GBP,GMM,Active
POL15799194,GRP68588,2019-01-15,2019-11-11,Life,10,2019,EUR,GMM,Active
POL76556054,GRP59635,2023-10-29,2026-01-16,Life,27,2023,GBP,GMM,Active
POL75076567,GRP39862,2022-10-25,2024-01-18,Motor,15,2022,EUR,PAA,Expired
POL27537546,GRP32692,2018-12-31,2021-01-19,Life,25,2018,EUR,PAA,Expired
POL09070979,GRP31120,2018-07-21,2021-03-07,Health,32,2018,GBP,PAA,Cancelled
POL46767520,GRP20226,2023-08-03,2026-06-18,Property,35,2023,GBP,PAA,Expired
POL78793500,GRP27792,2021-05-02,2022-03-28,Life,11,2021,GBP,GMM,Cancelled
POL39923552,GRP44420,2025-04-16,2027-03-07,Life,23,2025,EUR,GMM,Cancelled
POL14767797,GRP73027,2018-02-19,2019-12-11,Property,22,2018,GBP,PAA,Expired
POL31664940,GRP66699,2019-08-25,2021-01-16,Health,17,2019,EUR,GMM,Cancelled
POL20343810,GRP54192,2018-06-21,2021-03-07,Health,33,2018,GBP,PAA,Cancelled
POL74948515,GRP36851,2019-01-18,2020-11-08,Motor,22,2019,GBP,GMM,Cancelled
POL72664188,GRP72756,2022-08-17,2024-07-07,Motor,23,2022,GBP,PAA,Cancelled
POL72497751,GRP11076,2021-12-24,2024-07-11,Property,31,2021,GBP,PAA,Cancelled
POL47258775,GRP85907,2024-08-04,2025-05-31,Motor,10,2024,USD,PAA,Cancelled
POL27783809,GRP75283,2023-06-18,2024-07-12,Life,13,2023,GBP,PAA,Expired
POL54327710,GRP20701,2021-08-30,2024-04-16,Property,32,2021,GBP,GMM,Cancelled
POL53760190,GRP00226,2018-03-14,2020-09-29,Motor,31,2018,EUR,GMM,Expired
POL29079163,GRP25670,2022-01-25,2022-09-22,Motor,8,2022,USD,PAA,Cancelled
POL07592222,GRP13646,2022-07-29,2024-12-15,Motor,29,2022,USD,GMM,Expired
POL78209533,GRP04715,2018-04-01,2020-10-17,Property,31,2018,USD,GMM,Expired
POL45535517,GRP04546,2021-06-01,2023-05-22,Health,24,2021,GBP,GMM,Expired
POL77042912,GRP29419,2021-01-21,2023-11-07,Life,34,2021,GBP,PAA,Cancelled
POL11138487,GRP13438,2023-06-20,2024-03-16,Property,9,2023,EUR,GMM,Active
POL17515777,GRP39506,2023-01-24,2023-10-21,Motor,9,2023,USD,PAA,Expired
